Title,Price,Rating,Link
Sage Controllers | Custom ps5 Controller with 4 Back Paddles | Monkey D Luffy Pro+ | One piece | PC PS5 Mobile,"10,999",5.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDk5NzQwNDA1MzM2MTY3OjE3NjY4MzIzNzk6c3BfbXRmOjMwMDgxMDM1MzA1MTIzMjo6MDo6&url=%2FSage-Controller-Custom-Dualsense-Paddles%2Fdp%2FB09XJGRTTG%2Fref%3Dsr_1_11_sspa%3Fcrid%3D302ZJMTZG1JP1%26dib%3DeyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1766832379%26sprefix%3Dplaystation%2B%252Caps%252C369%26sr%3D8-11-spons%26aref%3DTBqGHLoJI5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=TBqGHLoJI5&sp_cr=ZAZ
"Sage Controllers PRO+ Controller compatible with PS5 Console & PC | Custommade Wireless PS5 Gaming Controller with 4 Back Paddles, Clicky Triggers & Bumpers | Glow in the dark - SpiderMn theme | Professional gaming controller (Pro+ with Hall Effect TMR)","14,500",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDk5NzQwNDA1MzM2MTY3OjE3NjY4MzIzNzk6c3BfbXRmOjMwMDgxMDM1MzA1MTYzMjo6MDo6&url=%2FSage-Controllers-Controller-compatible-Custommade%2Fdp%2FB0FVMC2ZJH%2Fref%3Dsr_1_12_sspa%3Fcrid%3D302ZJMTZG1JP1%26dib%3DeyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1766832379%26sprefix%3Dplaystation%2B%252Caps%252C369%26sr%3D8-12-spons%26aref%3Dnhs1LjHO3E%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=nhs1LjHO3E&sp_cr=ZAZ
WB Games Hogwarts Legacy | Standard Edition| Playstation 5 (Ps5),"2,628",4.5 out of 5 stars,https://www.amazon.in/Hogwarts-Legacy-Standard-PlayStation-PS5/dp/B0BBV2KB8R/ref=sr_1_13?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA&dib_tag=se&keywords=playstation+5&qid=1766832379&sprefix=playstation+%2Caps%2C369&sr=8-13
PlayStation 5 Digital Edition Console,"47,990",4.7 out of 5 stars,https://www.amazon.in/PlayStation-5-Digital-Edition-Console/dp/B08FC6MR62/ref=sr_1_14?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA&dib_tag=se&keywords=playstation+5&qid=1766832379&sprefix=playstation+%2Caps%2C369&sr=8-14
"Playstation 5 DualSense Wireless Controller Astro Bot Joyful Limited Edition, 1 Year Manufacturer Warranty","7,244",4.2 out of 5 stars,https://www.amazon.in/Playstation-DualSense-Wireless-Controller-Manufacturer/dp/B0FPX2CN3K/ref=sr_1_15?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA&dib_tag=se&keywords=playstation+5&qid=1766832379&sprefix=playstation+%2Caps%2C369&sr=8-15
Electronic Arts FC 26 | Standard Edition | PlayStation 5,"4,442",3.6 out of 5 stars,https://www.amazon.in/Electronic-Arts-FC-Standard-PlayStation/dp/B0FHWBD9ZV/ref=sr_1_16?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA&dib_tag=se&keywords=playstation+5&qid=1766832379&sprefix=playstation+%2Caps%2C369&sr=8-16
"ZEBRONICS PS5SC,Vertical PS5 Docking Station, 5000RPM 3 Level Fan, 2X Dual Sense 3H Rapid Charging Dock, Headset Hanger, 14x Disk Holder, RGB, Supports PS5 Standard | Slim | Pro (Disk & Digital)","1,999",4.0 out of 5 stars,https://www.amazon.in/ZEBRONICS-Vertical-Charging-Supports-Standard/dp/B0F8C158KQ/ref=sr_1_17?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA&dib_tag=se&keywords=playstation+5&qid=1766832379&sprefix=playstation+%2Caps%2C369&sr=8-17
"Sounce Anti-Slip Silicone PS5 Controller Skin Cover – Non-Slip Protective Grip Sleeve with Thumb Grip Caps, Touch Pad Sticker & Wrap Cover Stickers for PlayStation 5 (Pack of 1, Red Skin Cover)",399,4.4 out of 5 stars,https://www.amazon.in/Sounce-Anti-Slip-Silicone-Controller-Cover/dp/B0FRF4VSXC/ref=sr_1_18?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA&dib_tag=se&keywords=playstation+5&qid=1766832379&sprefix=playstation+%2Caps%2C369&sr=8-18
Cranique Waterproof Dust cover for PS5 Gaming Console Digital Edition & Disc Edition Playstation 5 (Black),227,4.3 out of 5 stars,https://www.amazon.in/Cranique-Waterproof-Console-Digital-Playstation/dp/B0CHMXVCGH/ref=sr_1_19?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA&dib_tag=se&keywords=playstation+5&qid=1766832379&sprefix=playstation+%2Caps%2C369&sr=8-19
Sony DualSense™ Charging Station,"2,420",4.5 out of 5 stars,https://www.amazon.in/Sony-Dualsense-Charging-Playstation5-Multicolor/dp/B08FVMT8QN/ref=sr_1_20?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfSkSBKLzpEI6eyvts8HKY1_u12b-m5Myzl1D_I1zG1bpthh9mIU4sTQThWQdqyf_3RBf2FbaKoot_pxagJYIZt89KDVWKjsqIPSGgIFneYHrH6jBmx-MWSBSpiBcpKqXCsSOwKEs6MhSSFaMwG0Jt6rLtkA1sgBqxMTE09yt-HqR0.lHzPQEmPXOn2BNCvUcoe9WXiQFi9TjDnuq7bLbIYdIA&dib_tag=se&keywords=playstation+5&qid=1766832379&sprefix=playstation+%2Caps%2C369&sr=8-20
